ASIGNATURA,SEMESTRE,NUCLEO_CURRICULAR,CREDITOS
Algebra y trigonometria,1,Ciencias Básicas,3
Cálculo Diferencial,1,Ciencias Básicas,3
Geometria Vectorial y Analítica,1,Ciencias Básicas,3
Vivamos la Universidad,1,Ciencias Básicas,1
Inglés I,1,Formación Complementaria,1
Lectoescritura,1,Formación Complementaria,3
Introducción a la Ingeniería Industrial,1,Generales,1
Gestión de las organizaciones,2,Administración y finanzas,3
Habilidades Gerenciales,2,Administración y finanzas,3
Álgebra Lineal,2,Ciencias Básicas,3
Cálculo Integral,2,Ciencias Básicas,3
Descubriendo la Física,2,Ciencias Básicas,3
Inglés II,2,Formación Complementaria,1
Gestión Contable,3,Administración y Finanzas,3
Física Mecánica,3,Ciencias Básicas,3
Inglés III,3,Formación Complementaria, 1
Algoritmia y Programación,3,Métodos Cuantitativos,3
Probabilidad e Inferencia Estadistica,3,Métodos Cuantitativos,3
Teoría General de Sistemas,3,Métodos Cuantitativos,3
Ingeniería Económica,4,Administración y Finanzas,3
Electiva en Física,4,Ciencias Básicas,3
Inglés IV,4,Formación Complementaria,1
Diseño de Experimentos y Análisis de Regresión,4,Métodos Cuantitativos,3
Optimización,4,Métodos Cuantitativos,3
Gestión de Métodos y Tiempos,4,Producción Logística y Calidad,4
Gestión Financiera,5,Administración y Finanzas,3
Laboratorio Integrado de Física,5,Ciencias Básicas,1
Inglés V,5,Formación Complementaria,1
Formación Ciudadana y Constitucional,5,Formación Complementaria,1
Dinámica de Sistemas,5,Métodos Cuantitativos,3
Muestreo y Series de Tiempo,5,Métodos Cuantitativos,3
Procesos Estocásticos y Análisis de Decisión,5,Métodos Cuantitativos,3
Gestión por Procesos,5,Producción Logística y Calidad,3
Gestión Tecnológica,6,Administración y Finanzas,3
Legislación,6,Administración y Finanzas,3
Electiva en Humanidades I,6,Electivas Socio Humanísticas,3
Inglés VI,6,Formación Complementaria,1
Simulación Discreta,6,Métodos Cuantitativos,3
Formulación de Proyectos de Investigación,6,Generales,3
Normalización y Control de la Calidad,6,Producción Logística y Calidad,3
Formulación y Evaluación de Proyectos de Inversión,7,Administración y Finanzas,3
Emprendimiento,7,Administración y Finanzas,2
Electiva en Humanidades II,7,Electivas Socio Humanísticas,3
Énfasis Profesional I,7,Énfasis Profesional,3
Electiva Complementaria I,7,Formación Complementaria,3
Diseño de Sistemas Productivos,7,Producción Logística y Calidad,3
Gestión de Proyectos,8,Administración y Finanzas,3
Electiva en Humanidades III,8,Electivas Socio Humanísticas,3
Énfasis Profesional II,8,Énfasis Profesional,3
Electiva Complementaria II,8,Formación Complementaria,3
Administración de la Producción y del Servicio,8,Producción Logística y Calidad,3
Electiva en Humanidades IV,9,Electivas Socio Humanísticas,3
Énfasis Profesional III,9,Énfasis Profesional,3
Electiva Complementaria III,9,Formación Complementaria,3
Gestión de la Cadena de Abastecimiento,9,Producción Logística y Calidad,3
Ingeniería del Mejoramiento Continuo,9,Producción Logística y Calidad,3
Práctica Profesional,10,Generales,12
